pm10,so2,co,o3,no2,max,categori
43,58,29,35,65,65,1
58,86,38,64,80,86,1
64,93,25,62,86,93,1
50,67,24,31,77,77,1
59,89,24,35,77,89,1
73,81,29,66,85,85,1
36,52,22,55,72,72,1
38,68,26,51,71,71,1
60,77,34,42,80,80,1
24,39,16,38,59,59,1
51,72,17,57,68,72,1
29,58,20,44,77,77,1
36,47,17,32,68,68,1
36,78,20,38,65,78,1
52,82,20,56,65,82,1
70,92,19,38,67,92,1
58,86,22,41,93,93,1
51,64,21,37,78,78,1
42,56,19,35,58,58,1
54,45,17,33,72,72,1
63,51,21,38,67,67,1
84,112,32,54,67,112,0
89,126,47,61,104,126,0
64,90,19,31,75,90,1
62,95,29,67,134,134,0
57,79,34,39,71,79,1
33,37,25,20,63,63,1
28,49,25,28,53,53,1
30,53,26,36,65,65,1
46,39,25,32,64,64,1
41,55,24,29,68,68,1
73,38,26,46,34,126,0
53,40,14,55,25,70,1
32,40,11,42,19,53,1
36,40,14,47,24,59,1
29,40,14,45,35,51,1
34,40,8,57,15,57,1
33,40,10,57,13,57,1
26,39,10,54,17,54,1
33,40,13,47,22,57,1
50,40,13,49,16,64,1
38,43,13,35,17,57,1
63,43,16,33,42,98,1
59,40,12,40,16,89,1
55,40,11,42,19,73,1
42,40,13,37,25,66,1
43,40,11,42,26,63,1
46,40,25,41,37,71,1
53,44,13,41,29,70,1
32,42,20,41,33,52,1
45,39,13,53,20,63,1
36,39,10,48,17,52,1
68,42,22,41,40,103,0
66,40,16,54,23,90,1
42,40,10,33,16,61,1
31,43,12,45,23,54,1
48,43,13,40,20,75,1
59,44,15,50,31,94,1
68,40,18,60,18,113,0
62,45,13,38,18,97,1
55,50,17,53,28,81,1
59,46,21,50,35,83,1
62,45,19,49,31,103,0
65,54,16,59,30,81,1
71,59,25,52,42,95,1
64,41,23,51,31,103,0
58,40,16,41,22,81,1
51,41,15,33,22,63,1
60,42,21,42,39,91,1
38,39,9,43,21,53,1
66,41,19,45,25,99,1
53,41,13,41,25,72,1
52,41,16,37,21,73,1
55,42,18,49,34,92,1
67,46,13,57,36,101,0
78,55,20,53,45,123,0
78,45,16,74,40,125,0
73,42,14,59,35,96,1
65,44,16,56,31,106,0
81,41,16,51,17,118,0
62,41,15,43,18,93,1
51,41,11,44,16,77,1
43,40,11,37,15,64,1
38,41,9,41,17,68,1
57,42,19,53,28,83,1
62,49,13,63,33,91,1
57,43,15,71,31,78,1
65,48,19,67,37,91,1
59,42,15,55,30,76,1
56,43,18,48,25,69,1
28,41,11,43,19,52,1
51,44,11,42,19,70,1
39,42,9,57,22,67,1
68,43,30,49,37,103,0
61,43,15,59,28,85,1
43,43,10,36,18,61,1
30,42,11,43,19,52,1
39,51,12,40,22,57,1
55,43,14,49,28,77,1
64,43,16,50,29,101,0
66,50,18,60,31,108,0
69,51,20,54,31,93,1
70,63,18,64,40,82,1
65,55,16,65,32,81,1
67,55,27,50,42,88,1
69,55,20,50,44,94,1
67,43,20,39,41,118,0
57,42,16,32,26,93,1
63,52,14,41,30,108,0
64,52,12,55,30,94,1
76,56,19,50,37,105,0
63,52,14,60,40,99,1
75,51,16,65,42,112,0
88,61,18,73,40,115,0
74,55,17,58,36,116,0
64,52,11,59,24,117,0
75,51,12,65,28,138,0
61,51,15,56,34,94,1
69,60,17,44,38,85,1
71,57,18,55,42,91,1
66,51,15,57,33,102,0
55,47,13,53,17,89,1
61,50,10,51,20,95,1
74,54,18,39,26,113,0
73,53,20,45,38,117,0
57,53,16,66,38,77,1
67,61,26,151,45,151,0
60,53,12,71,28,87,1
46,46,9,61,21,66,1
55,51,10,66,21,76,1
69,50,12,57,24,102,0
67,52,10,63,21,105,0
81,49,14,48,20,115,0
56,51,9,52,14,81,1
62,54,11,40,19,89,1
54,50,9,52,16,92,1
54,55,11,51,24,75,1
41,48,10,49,26,58,1
61,52,17,55,36,99,1
66,53,12,56,27,103,0
60,58,15,65,34,95,1
64,62,16,66,36,90,1
73,64,31,57,40,109,0
86,74,26,72,38,118,0
56,52,15,66,35,70,1
62,52,12,64,24,93,1
60,52,10,62,20,79,1
66,53,12,63,24,93,1
60,46,14,66,32,91,1
53,55,17,51,29,72,1
62,49,20,71,37,93,1
73,50,18,64,35,105,0
68,54,20,76,38,100,1
68,57,20,61,41,93,1
66,48,13,76,30,100,1
64,51,20,65,38,93,1
63,50,15,72,32,95,1
61,52,15,68,31,86,1
70,53,16,72,38,103,0
68,54,14,67,34,108,0
71,56,23,48,47,108,0
65,51,15,61,40,99,1
67,54,17,57,35,93,1
55,52,14,58,25,80,1
69,53,13,58,26,103,0
73,52,13,44,29,114,0
67,66,25,43,55,97,1
66,51,28,44,41,102,0
77,59,23,49,45,102,0
64,59,21,41,45,102,0
81,66,26,44,58,140,0
62,55,16,44,35,90,1
59,54,16,38,35,84,1
66,52,17,51,43,107,0
80,54,19,42,52,119,0
85,58,30,40,63,147,0
67,53,10,53,23,118,0
72,57,22,57,41,134,0
65,53,18,61,38,117,0
75,52,24,51,50,128,0
79,57,19,55,38,125,0
64,53,14,48,31,114,0
68,56,23,40,51,108,0
80,54,13,44,27,141,0
94,51,15,50,25,161,0
83,56,13,62,26,153,0
68,51,10,55,29,102,0
84,54,12,51,27,130,0
83,56,11,50,26,145,0
92,59,11,56,26,156,0
78,54,10,63,23,132,0
66,54,10,54,17,119,0
64,52,9,44,14,64,1
78,54,11,43,26,119,0
66,51,13,50,26,116,0
95,62,15,56,30,174,0
85,53,11,53,29,138,0
74,55,10,58,20,134,0
82,55,13,58,27,150,0
80,51,11,77,28,140,0
86,51,15,60,24,147,0
55,52,9,58,19,102,0
60,53,11,54,27,110,0
63,52,10,59,28,104,0
66,54,13,51,34,104,0
81,55,24,54,42,148,0
79,54,16,46,32,131,0
